,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
model_clear,1.5791809558868408,0.4444,14.2195,175.814,11.041,20.0
model_syn,1.582372784614563,0.4616,14.2439,175.513,11.022,20.0
